Chapa;Material;Espessura_mm;Instancia;Modulo;Peca;PecaX_mm;PecaY_mm;PecaL_mm;PecaA_mm;Rotacionada;FuroTipo;Aresta;LocalX_mm;LocalY_mm;ChapaX_mm;ChapaY_mm;Diametro_mm;Profundidade_mm
1;MDF Branco;18;12;3P 1200mm;Base inferior;10;10;544;1164;Sim;MinifixDowel;Front;50;37;47;1124;5;10
1;MDF Branco;18;12;3P 1200mm;Base inferior;10;10;544;1164;Sim;MinifixDowel;Front;1114;37;47;60;5;10
1;MDF Branco;18;13;3P 1200mm;Tampo interno;10;1177;1164;544;Não;MinifixDowel;Front;50;37;60;1214;5;10
1;MDF Branco;18;13;3P 1200mm;Tampo interno;10;1177;1164;544;Não;MinifixDowel;Front;1114;37;1124;1214;5;10
1;MDF Branco;18;15;3P 1200mm;Prateleira;557;10;524;1160;Sim;MinifixDowel;Front;50;37;594;1120;5;10
1;MDF Branco;18;15;3P 1200mm;Prateleira;557;10;524;1160;Sim;MinifixDowel;Front;1110;37;594;60;5;10
1;MDF Branco;18;1;2P 800mm;Lateral;1084;10;550;850;Não;MinifixCam;Front;37;50;1121;60;15;13
1;MDF Branco;18;1;2P 800mm;Lateral;1084;10;550;850;Não;MinifixCam;Front;37;800;1121;810;15;13
1;MDF Branco;18;2;2P 800mm;Lateral;1177;863;550;850;Não;MinifixCam;Front;37;50;1214;913;15;13
1;MDF Branco;18;2;2P 800mm;Lateral;1177;863;550;850;Não;MinifixCam;Front;37;800;1214;1663;15;13
1;MDF Branco;18;10;3P 1200mm;Lateral;1637;10;550;850;Não;MinifixCam;Front;37;50;1674;60;15;13
1;MDF Branco;18;10;3P 1200mm;Lateral;1637;10;550;850;Não;MinifixCam;Front;37;800;1674;810;15;13
1;MDF Branco;18;11;3P 1200mm;Lateral;1730;863;550;850;Não;MinifixCam;Front;37;50;1767;913;15;13
1;MDF Branco;18;11;3P 1200mm;Lateral;1730;863;550;850;Não;MinifixCam;Front;37;800;1767;1663;15;13
1;MDF Branco;18;3;2P 800mm;Base inferior;2190;10;544;764;Sim;MinifixDowel;Front;50;37;2227;724;5;10
1;MDF Branco;18;3;2P 800mm;Base inferior;2190;10;544;764;Sim;MinifixDowel;Front;714;37;2227;60;5;10
1;MDF Branco;18;7;2P 800mm;Frente porta 1;2283;777;396;842;Não;HingeCup;Right;374;100;2657;877;35;13
1;MDF Branco;18;7;2P 800mm;Frente porta 1;2283;777;396;842;Não;HingeCup;Right;374;742;2657;1519;35;13
1;MDF Branco;18;19;3P 1200mm;Sarrafo;10;1724;1164;65;Não;MinifixDowel;Front;50;37;60;1761;5;10
1;MDF Branco;18;19;3P 1200mm;Sarrafo;10;1724;1164;65;Não;MinifixDowel;Front;1114;37;1124;1761;5;10
1;MDF Branco;18;38;Aéreo 2P 800mm;Sarrafo;1177;1716;764;70;Não;MinifixDowel;Front;50;37;1227;1753;5;10
1;MDF Branco;18;38;Aéreo 2P 800mm;Sarrafo;1177;1716;764;70;Não;MinifixDowel;Front;714;37;1891;1753;5;10
2;MDF Branco;18;20;4G 400mm;Lateral;10;10;550;850;Não;MinifixCam;Front;37;50;47;60;15;13
2;MDF Branco;18;20;4G 400mm;Lateral;10;10;550;850;Não;MinifixCam;Front;37;800;47;810;15;13
2;MDF Branco;18;21;4G 400mm;Lateral;10;863;550;850;Não;MinifixCam;Front;37;50;47;913;15;13
2;MDF Branco;18;21;4G 400mm;Lateral;10;863;550;850;Não;MinifixCam;Front;37;800;47;1663;15;13
2;MDF Branco;18;4;2P 800mm;Tampo interno;563;10;544;764;Sim;MinifixDowel;Front;50;37;600;724;5;10
2;MDF Branco;18;4;2P 800mm;Tampo interno;563;10;544;764;Sim;MinifixDowel;Front;714;37;600;60;5;10
2;MDF Branco;18;6;2P 800mm;Prateleira;563;777;524;760;Sim;MinifixDowel;Front;50;37;600;1487;5;10
2;MDF Branco;18;6;2P 800mm;Prateleira;563;777;524;760;Sim;MinifixDowel;Front;710;37;600;827;5;10
